name,roaster,roast,loc_country,origin_1,origin_2,100g_USD,rating,review_date,desc_1,cleaned_desc_1,sentiment_score,label,roberta_sentiment_score,predicted_labels
“Sweety” Espresso Blend,A.R.C.,Medium_Light,Hong Kong,Panama,Ethiopia,14.32,95,2017-11-01,"Evaluated as espresso. Sweet-toned, deeply rich, chocolaty. Vanilla paste, dark chocolate, narcissus, pink grapefruit zest, black cherry in aroma and cup. Plush, syrupy mouthfeel; resonant, flavor-saturated finish. In three parts milk, rich chocolate tones intensify, along with intimations of vanilla paste and black cherry in the short finish and floral-toned citrus zest in the long. ",evaluated espresso sweettoned deeply rich chocolaty vanilla paste dark chocolate narcissus pink grapefruit zest black cherry aroma cup plush syrupy mouthfeel resonant flavorsaturated finish three part milk rich chocolate tone intensify along intimation vanilla paste black cherry short finish floraltoned citrus zest long,0.831,1,0.9425318,1
Flora Blend Espresso,A.R.C.,Medium_Light,Hong Kong,Africa,Asia Pacific,9.05,94,2017-11-01,"Evaluated as espresso. Sweetly tart, floral-toned. Honeysuckle, oak, dried apricot, dark chocolate, thyme in aroma and small cup. Delicately syrupy body; gently drying, floral-driven finish in the short and sweetly herb-toned in the long. In three parts milk, chocolate, florals and fruit all take center stage, and thyme-like herb notes gently follow.",evaluated espresso sweetly tart floraltoned honeysuckle oak dried apricot dark chocolate thyme aroma small cup delicately syrupy body gently drying floraldriven finish short sweetly herbtoned long three part milk chocolate florals fruit take center stage thymelike herb note gently follow,0.9217,1,0.94252074,1
Ethiopia Shakiso Mormora,Revel Coffee,Medium_Light,United States,Guji Zone,Southern Ethiopia,4.7,92,2017-11-01,"Crisply sweet, cocoa-toned. Lemon blossom, roasted cacao nib, date, rice candy, white peppercorn in aroma and cup. Savory-tart structure; delicate, silky mouthfeel. The richly drying finish leads with cocoa-toned, crisply sweet floral notes in the short and a hint of spice (white peppercorn) in the long.",crisply sweet cocoatoned lemon blossom roasted cacao nib date rice candy white peppercorn aroma cup savorytart structure delicate silky mouthfeel richly drying finish lead cocoatoned crisply sweet floral note short hint spice white peppercorn long,0.8442,1,0.9425242,1
Ethiopia Suke Quto,Roast House,Medium_Light,United States,Guji Zone,Oromia Region,4.19,92,2017-11-01,"Delicate, sweetly spice-toned. Pink peppercorn, date, myrrh, lavender, roasted cacao nib in aroma and cup. Crisp, spice-toned structure with citrus-like acidity; satiny, very smooth mouthfeel. The crisply sweet finish centers around spice and pungent floral notes.",delicate sweetly spicetoned pink peppercorn date myrrh lavender roasted cacao nib aroma cup crisp spicetoned structure citruslike acidity satiny smooth mouthfeel crisply sweet finish center around spice pungent floral note,0.743,1,0.9425336,1
Ethiopia Gedeb Halo Beriti,Big Creek Coffee Roasters,Medium,United States,Gedeb District,Gedeo Zone,4.85,94,2017-11-01,"Deeply sweet, subtly pungent. Honey, pear, tangerine zest, dark chocolate, pistachio in aroma and cup. Sweet and juicy yet crisp in structure (think ripe pear); plush and buoyant in mouthfeel. Resonant and flavor saturated in the short finish; simplifies around hints of tangerine and pistachio in the long.",deeply sweet subtly pungent honey pear tangerine zest dark chocolate pistachio aroma cup sweet juicy yet crisp structure think ripe pear plush buoyant mouthfeel resonant flavor saturated short finish simplifies around hint tangerine pistachio long,0.8169,1,0.9425138,1
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,Light,United States,Odo Shakiso District,Guji Zone,5.14,93,2017-11-01,"Delicate, richly and sweetly tart. Dried hibiscus, fine musk, almond, sandalwood, raspberry in aroma and cup. Fruit-toned, deeply sweet structure with gently-expressed acidity; buoyant, satiny-smooth mouthfeel. The crisp, flavor-saturated finish is characterized by sweet-tart fruit and floral tones (raspberry, hibiscus).",delicate richly sweetly tart dried hibiscus fine musk almond sandalwood raspberry aroma cup fruittoned deeply sweet structure gentlyexpressed acidity buoyant satinysmooth mouthfeel crisp flavorsaturated finish characterized sweettart fruit floral tone raspberry hibiscus,0.9041,1,0.94250953,1
Ethiopia Gelgelu Natural Organic,Willoughby's Coffee & Tea,Medium_Light,United States,Yirgacheffe Growing Region,Southern Ethiopia,3.97,93,2017-11-01,"High-toned, floral. Dried apricot, magnolia, almond butter, maple syrup, cherry brandy in aroma and cup. Crisp, sweetly-tart in structure; plush, syrupy mouthfeel. Notes of magnolia and dried apricot dominate in the flavor-laden short finish, with hints of almond butter and fruit brandy in the long.",hightoned floral dried apricot magnolia almond butter maple syrup cherry brandy aroma cup crisp sweetlytart structure plush syrupy mouthfeel note magnolia dried apricot dominate flavorladen short finish hint almond butter fruit brandy long,-0.128,0,0.94254124,1
Ethiopia Hambela Alaka,Black Oak Coffee Roasters,Medium_Light,United States,Hambela Wamena District,Guji Zone,5.14,93,2017-11-01,"Very delicate, sweetly savory. Lemon verbena, allspice, dried persimmon, dogwood, baker’s chocolate in aroma and cup. Balanced, sweet-savory structure; velvety-smooth mouthfeel. The sweetly herb-toned finish centers on notes of lemon verbena and dried persimmon wrapped in baker’s chocolate.",delicate sweetly savory lemon verbena allspice dried persimmon dogwood baker ’ chocolate aroma cup balanced sweetsavory structure velvetysmooth mouthfeel sweetly herbtoned finish center note lemon verbena dried persimmon wrapped baker ’ chocolate,0.7506,1,0.94250077,1
Organic Ethiopia Kirite,Wonderstate Coffee,Medium_Light,United States,Hambela District,Guji Zone,5.29,93,2017-11-01,"High-toned, crisply sweet. Lemon blossom, apricot, frankincense, spearmint, roasted cacao nib in aroma and cup. Balanced, complete sweet-savory structure; satiny, full mouthfeel. Sweet spearmint notes carry the cocoa-toned finish, with hints of lemon blossom and apricot.",hightoned crisply sweet lemon blossom apricot frankincense spearmint roasted cacao nib aroma cup balanced complete sweetsavory structure satiny full mouthfeel sweet spearmint note carry cocoatoned finish hint lemon blossom apricot,0.7184,1,0.9425302,1
Ethiopia Sidama,Reunion Island Coffee,Medium,Canada,Sidama (Also Sidamo) Growing Region,Southern Ethiopia,3.76,94,2017-11-01,"Balanced, sweet-savory. Red currant, roasted cacao nib, clove, blood orange zest, frankincense in aroma and cup. Savory-sweet structure with lively acidity; syrupy mouthfeel. The resonant, spice-toned finish leads with intimations of clove and roasted cacao nib in the short, rounding to rich fruit tones with hints of frankincense in the long.",balanced sweetsavory red currant roasted cacao nib clove blood orange zest frankincense aroma cup savorysweet structure lively acidity syrupy mouthfeel resonant spicetoned finish lead intimation clove roasted cacao nib short rounding rich fruit tone hint frankincense long,0.7579,1,0.94254595,1
