roaster,cleaned_desc_1,sentiment_scores,compound,compound_scaled_0_1,compound_scaled_1_10
A.R.C.,evaluated espresso sweettoned deeply rich chocolaty vanilla paste dark chocolate narcissus pink grapefruit zest black cherry aroma cup plush syrupy mouthfeel resonant flavorsaturated finish three part milk rich chocolate tone intensify along intimation vanilla paste black cherry short finish floraltoned citrus zest long,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.831}",0.831,0.9155,9.2395
A.R.C.,evaluated espresso sweetly tart floraltoned honeysuckle oak dried apricot dark chocolate thyme aroma small cup delicately syrupy body gently drying floraldriven finish short sweetly herbtoned long three part milk chocolate florals fruit take center stage thymelike herb note gently follow,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9217}",0.9217,0.96085,9.64765
Revel Coffee,crisply sweet cocoatoned lemon blossom roasted cacao nib date rice candy white peppercorn aroma cup savorytart structure delicate silky mouthfeel richly drying finish lead cocoatoned crisply sweet floral note short hint spice white peppercorn long,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.8442}",0.8442,0.9220999999999999,9.2989
Roast House,delicate sweetly spicetoned pink peppercorn date myrrh lavender roasted cacao nib aroma cup crisp spicetoned structure citruslike acidity satiny smooth mouthfeel crisply sweet finish center around spice pungent floral note,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.743}",0.743,0.8714999999999999,8.843499999999999
Big Creek Coffee Roasters,deeply sweet subtly pungent honey pear tangerine zest dark chocolate pistachio aroma cup sweet juicy yet crisp structure think ripe pear plush buoyant mouthfeel resonant flavor saturated short finish simplifies around hint tangerine pistachio long,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.8169}",0.8169,0.90845,9.17605
Red Rooster Coffee Roaster,delicate richly sweetly tart dried hibiscus fine musk almond sandalwood raspberry aroma cup fruittoned deeply sweet structure gentlyexpressed acidity buoyant satinysmooth mouthfeel crisp flavorsaturated finish characterized sweettart fruit floral tone raspberry hibiscus,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.9041}",0.9041,0.9520500000000001,9.56845
Willoughby's Coffee & Tea,hightoned floral dried apricot magnolia almond butter maple syrup cherry brandy aroma cup crisp sweetlytart structure plush syrupy mouthfeel note magnolia dried apricot dominate flavorladen short finish hint almond butter fruit brandy long,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.128}",-0.128,0.436,4.9239999999999995
Black Oak Coffee Roasters,delicate sweetly savory lemon verbena allspice dried persimmon dogwood baker ’ chocolate aroma cup balanced sweetsavory structure velvetysmooth mouthfeel sweetly herbtoned finish center note lemon verbena dried persimmon wrapped baker ’ chocolate,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.7506}",0.7506,0.8753,8.8777
Wonderstate Coffee,hightoned crisply sweet lemon blossom apricot frankincense spearmint roasted cacao nib aroma cup balanced complete sweetsavory structure satiny full mouthfeel sweet spearmint note carry cocoatoned finish hint lemon blossom apricot,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.7184}",0.7184,0.8592,8.7328
Reunion Island Coffee,balanced sweetsavory red currant roasted cacao nib clove blood orange zest frankincense aroma cup savorysweet structure lively acidity syrupy mouthfeel resonant spicetoned finish lead intimation clove roasted cacao nib short rounding rich fruit tone hint frankincense long,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.7579}",0.7579,0.87895,8.91055
PT's Coffee Roasting,intense deep spicecomplicated sweetness black currant baker ’ chocolate peppercorn medley black sage hint lush lily aroma cup balanced lively structure sweetly tart savory edge plush silky mouthfeel chocolate move forward resonant long lively finish,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.9081}",0.9081,0.9540500000000001,9.586450000000001
Kakalove Cafe,deeply crisp lushly floral rose almond dark chocolate lime zest peppermint aroma cup tartly sweet clear savory edge structure plump juicy mouthfeel finish complex resonant short consolidating around fading lime mint long,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.6808}",0.6808,0.8404,8.563600000000001
